n_element = 1857291 , t_a_compute = 0.008109 seconds, bandwidth = 229.029737 GBytes/s, performance = 164.901411 GFlop/s, t_j_init = 0.005125 , t_j_init_copy = 0.005569 , t_a_init_copy = 0.009784 , t_j_end_copy = 0.005318 , t_a_end_copy = 0.009398
n_element = 2043020 , t_a_compute = 0.008846 seconds, bandwidth = 230.950031 GBytes/s, performance = 166.284022 GFlop/s, t_j_init = 0.005828 , t_j_init_copy = 0.006147 , t_a_init_copy = 0.010748 , t_j_end_copy = 0.005849 , t_a_end_copy = 0.010310
n_element = 2247322 , t_a_compute = 0.009778 seconds, bandwidth = 229.834150 GBytes/s, performance = 165.480588 GFlop/s, t_j_init = 0.006268 , t_j_init_copy = 0.006694 , t_a_init_copy = 0.011844 , t_j_end_copy = 0.006408 , t_a_end_copy = 0.011428
n_element = 2472054 , t_a_compute = 0.010742 seconds, bandwidth = 230.127950 GBytes/s, performance = 165.692124 GFlop/s, t_j_init = 0.006744 , t_j_init_copy = 0.007393 , t_a_init_copy = 0.012968 , t_j_end_copy = 0.007125 , t_a_end_copy = 0.012482
n_element = 2719259 , t_a_compute = 0.011836 seconds, bandwidth = 229.741268 GBytes/s, performance = 165.413713 GFlop/s, t_j_init = 0.007612 , t_j_init_copy = 0.008121 , t_a_init_copy = 0.014300 , t_j_end_copy = 0.007814 , t_a_end_copy = 0.013719
n_element = 2991184 , t_a_compute = 0.012921 seconds, bandwidth = 231.496420 GBytes/s, performance = 166.677423 GFlop/s, t_j_init = 0.007431 , t_j_init_copy = 0.008936 , t_a_init_copy = 0.015669 , t_j_end_copy = 0.008509 , t_a_end_copy = 0.015094
n_element = 3290302 , t_a_compute = 0.014238 seconds, bandwidth = 231.098850 GBytes/s, performance = 166.391172 GFlop/s, t_j_init = 0.009129 , t_j_init_copy = 0.009786 , t_a_init_copy = 0.017255 , t_j_end_copy = 0.009389 , t_a_end_copy = 0.016568
n_element = 3619332 , t_a_compute = 0.015724 seconds, bandwidth = 230.181894 GBytes/s, performance = 165.730964 GFlop/s, t_j_init = 0.010777 , t_j_init_copy = 0.010779 , t_a_init_copy = 0.018974 , t_j_end_copy = 0.010278 , t_a_end_copy = 0.018292
n_element = 3981265 , t_a_compute = 0.017233 seconds, bandwidth = 231.023396 GBytes/s, performance = 166.336845 GFlop/s, t_j_init = 0.010891 , t_j_init_copy = 0.011811 , t_a_init_copy = 0.020882 , t_j_end_copy = 0.011322 , t_a_end_copy = 0.020062
n_element = 4379391 , t_a_compute = 0.018922 seconds, bandwidth = 231.442789 GBytes/s, performance = 166.638808 GFlop/s, t_j_init = 0.012196 , t_j_init_copy = 0.013106 , t_a_init_copy = 0.022963 , t_j_end_copy = 0.012554 , t_a_end_copy = 0.022197
n_element = 4817330 , t_a_compute = 0.021056 seconds, bandwidth = 228.786232 GBytes/s, performance = 164.726087 GFlop/s, t_j_init = 0.013372 , t_j_init_copy = 0.014343 , t_a_init_copy = 0.025294 , t_j_end_copy = 0.013696 , t_a_end_copy = 0.024267
n_element = 5299063 , t_a_compute = 0.023025 seconds, bandwidth = 230.146986 GBytes/s, performance = 165.705830 GFlop/s, t_j_init = 0.014506 , t_j_init_copy = 0.015647 , t_a_init_copy = 0.027714 , t_j_end_copy = 0.015039 , t_a_end_copy = 0.027756
n_element = 5828969 , t_a_compute = 0.025860 seconds, bandwidth = 225.408041 GBytes/s, performance = 162.293790 GFlop/s, t_j_init = 0.016228 , t_j_init_copy = 0.017263 , t_a_init_copy = 0.030970 , t_j_end_copy = 0.016546 , t_a_end_copy = 0.029421
n_element = 6411865 , t_a_compute = 0.027970 seconds, bandwidth = 229.243375 GBytes/s, performance = 165.055230 GFlop/s, t_j_init = 0.017591 , t_j_init_copy = 0.018918 , t_a_init_copy = 0.033568 , t_j_end_copy = 0.018235 , t_a_end_copy = 0.032248
n_element = 7053051 , t_a_compute = 0.032150 seconds, bandwidth = 219.379898 GBytes/s, performance = 157.953527 GFlop/s, t_j_init = 0.019598 , t_j_init_copy = 0.020838 , t_a_init_copy = 0.036906 , t_j_end_copy = 0.019991 , t_a_end_copy = 0.035465
n_element = 7758356 , t_a_compute = 0.033549 seconds, bandwidth = 231.256049 GBytes/s, performance = 166.504355 GFlop/s, t_j_init = 0.022619 , t_j_init_copy = 0.022877 , t_a_init_copy = 0.040564 , t_j_end_copy = 0.022001 , t_a_end_copy = 0.038953
n_element = 8534191 , t_a_compute = 0.037030 seconds, bandwidth = 230.467792 GBytes/s, performance = 165.936810 GFlop/s, t_j_init = 0.023268 , t_j_init_copy = 0.025212 , t_a_init_copy = 0.044631 , t_j_end_copy = 0.024294 , t_a_end_copy = 0.042963
n_element = 9387610 , t_a_compute = 0.040932 seconds, bandwidth = 229.345855 GBytes/s, performance = 165.129016 GFlop/s, t_j_init = 0.025961 , t_j_init_copy = 0.027674 , t_a_init_copy = 0.049112 , t_j_end_copy = 0.026726 , t_a_end_copy = 0.047158
n_element = 10326371 , t_a_compute = 0.044834 seconds, bandwidth = 230.324810 GBytes/s, performance = 165.833863 GFlop/s, t_j_init = 0.029224 , t_j_init_copy = 0.030571 , t_a_init_copy = 0.053977 , t_j_end_copy = 0.029190 , t_a_end_copy = 0.051855
n_element = 11359008 , t_a_compute = 0.048686 seconds, bandwidth = 233.310501 GBytes/s, performance = 167.983561 GFlop/s, t_j_init = 0.027760 , t_j_init_copy = 0.033495 , t_a_init_copy = 0.059380 , t_j_end_copy = 0.032105 , t_a_end_copy = 0.057076
n_element = 12494908 , t_a_compute = 0.053851 seconds, bandwidth = 232.028503 GBytes/s, performance = 167.060522 GFlop/s, t_j_init = 0.036126 , t_j_init_copy = 0.036802 , t_a_init_copy = 0.065325 , t_j_end_copy = 0.035319 , t_a_end_copy = 0.062636
n_element = 13744398 , t_a_compute = 0.059342 seconds, bandwidth = 231.615231 GBytes/s, performance = 166.762966 GFlop/s, t_j_init = 0.038271 , t_j_init_copy = 0.040434 , t_a_init_copy = 0.071889 , t_j_end_copy = 0.038829 , t_a_end_copy = 0.068920
