n_element = 23169 , t_a_compute = 0.000299 seconds, bandwidth = 77.570794 GBytes/s, performance = 55.850972 GFlop/s, t_j_init = 0.000041 , t_j_init_copy = 0.000099 , t_a_init_copy = 0.000174 , t_j_end_copy = 0.000123 , t_a_end_copy = 0.000187
n_element = 25485 , t_a_compute = 0.000321 seconds, bandwidth = 79.509186 GBytes/s, performance = 57.246614 GFlop/s, t_j_init = 0.000046 , t_j_init_copy = 0.000108 , t_a_init_copy = 0.000189 , t_j_end_copy = 0.000134 , t_a_end_copy = 0.000195
n_element = 28033 , t_a_compute = 0.000340 seconds, bandwidth = 82.346340 GBytes/s, performance = 59.289365 GFlop/s, t_j_init = 0.000047 , t_j_init_copy = 0.000118 , t_a_init_copy = 0.000204 , t_j_end_copy = 0.000147 , t_a_end_copy = 0.000205
n_element = 30836 , t_a_compute = 0.000376 seconds, bandwidth = 82.072848 GBytes/s, performance = 59.092450 GFlop/s, t_j_init = 0.000051 , t_j_init_copy = 0.000130 , t_a_init_copy = 0.000221 , t_j_end_copy = 0.000157 , t_a_end_copy = 0.000222
n_element = 33919 , t_a_compute = 0.000420 seconds, bandwidth = 80.719741 GBytes/s, performance = 58.118213 GFlop/s, t_j_init = 0.000055 , t_j_init_copy = 0.000147 , t_a_init_copy = 0.000239 , t_j_end_copy = 0.000166 , t_a_end_copy = 0.000236
n_element = 37310 , t_a_compute = 0.000465 seconds, bandwidth = 80.182587 GBytes/s, performance = 57.731462 GFlop/s, t_j_init = 0.000060 , t_j_init_copy = 0.000153 , t_a_init_copy = 0.000260 , t_j_end_copy = 0.000175 , t_a_end_copy = 0.000253
n_element = 41041 , t_a_compute = 0.000506 seconds, bandwidth = 81.160825 GBytes/s, performance = 58.435794 GFlop/s, t_j_init = 0.000065 , t_j_init_copy = 0.000160 , t_a_init_copy = 0.000278 , t_j_end_copy = 0.000184 , t_a_end_copy = 0.000272
n_element = 45145 , t_a_compute = 0.000552 seconds, bandwidth = 81.850553 GBytes/s, performance = 58.932398 GFlop/s, t_j_init = 0.000072 , t_j_init_copy = 0.000171 , t_a_init_copy = 0.000297 , t_j_end_copy = 0.000197 , t_a_end_copy = 0.000291
n_element = 49659 , t_a_compute = 0.000613 seconds, bandwidth = 81.008599 GBytes/s, performance = 58.326191 GFlop/s, t_j_init = 0.000077 , t_j_init_copy = 0.000185 , t_a_init_copy = 0.000326 , t_j_end_copy = 0.000208 , t_a_end_copy = 0.000315
n_element = 54624 , t_a_compute = 0.000655 seconds, bandwidth = 83.393892 GBytes/s, performance = 60.043602 GFlop/s, t_j_init = 0.000085 , t_j_init_copy = 0.000202 , t_a_init_copy = 0.000345 , t_j_end_copy = 0.000221 , t_a_end_copy = 0.000341
